PRATO;PRECO
Almôndega caseira;9.70 
Arroz de forno;7.50
Bife de alcatra;13.50
Bolo de carne vegano;11.30
Brócolis refogado com cenoura;4.50
Costelinha de porco na panela de pressão;15.70
Espaguetini integral ao alho e óleo;12.30
Estrogonofe de berinjela;8.70
Farofa crocante;3.50
Fejoada;17.30
Filé de frango com molho de mostarda;12.50
Frango xadrez;11.30
Peixe ensopado;18.40
Rocambole de carne moída;9.30
Picadinho de carne;16.50
Salada verde com molho de mostarda;4.50
Suflê de Chuchu;3.30
Tutu de feijão;6.70
comidacara;50.5
Alm?ndega caseira;9.7
Arroz de forno;7.5
Bife de alcatra;13.5
Bolo de carne vegano;11.3
Br?colis refogado com cenoura;4.5
Costelinha de porco na panela de press?o;15.7
Espaguetini integral ao alho e ?leo;12.3
Estrogonofe de berinjela;8.7
Farofa crocante;3.5
Fejoada;17.3
Fil? de frango com molho de mostarda;12.5
Frango xadrez;11.3
Peixe ensopado;18.4
Rocambole de carne mo?da;9.3
Picadinho de carne;16.5
Salada verde com molho de mostarda;4.5
Sufl? de Chuchu;3.3
Tutu de feij?o;6.7
comidacara;50.5
Alm?ndega caseira;9.7
Arroz de forno;7.5
Bife de alcatra;13.5
Bolo de carne vegano;11.3
Br?colis refogado com cenoura;4.5
Costelinha de porco na panela de press?o;15.7
Espaguetini integral ao alho e ?leo;12.3
Estrogonofe de berinjela;8.7
Farofa crocante;3.5
Fejoada;17.3
Fil? de frango com molho de mostarda;12.5
Frango xadrez;11.3
Peixe ensopado;18.4
Rocambole de carne mo?da;9.3
Picadinho de carne;16.5
Salada verde com molho de mostarda;4.5
Sufl? de Chuchu;3.3
Tutu de feij?o;6.7
comidacara;50.5
Alm?ndega caseira;9.7
Arroz de forno;7.5
Bife de alcatra;13.5
Bolo de carne vegano;11.3
Br?colis refogado com cenoura;4.5
Costelinha de porco na panela de press?o;15.7
Espaguetini integral ao alho e ?leo;12.3
Estrogonofe de berinjela;8.7
Farofa crocante;3.5
Fejoada;17.3
Fil? de frango com molho de mostarda;12.5
Frango xadrez;11.3
Peixe ensopado;18.4
Rocambole de carne mo?da;9.3
Picadinho de carne;16.5
Salada verde com molho de mostarda;4.5
Sufl? de Chuchu;3.3
Tutu de feij?o;6.7
comidacara;50.5
Alm?ndega caseira;9.7
Arroz de forno;7.5
Bife de alcatra;13.5
Bolo de carne vegano;11.3
Br?colis refogado com cenoura;4.5
Costelinha de porco na panela de press?o;15.7
Espaguetini integral ao alho e ?leo;12.3
Estrogonofe de berinjela;8.7
Farofa crocante;3.5
Fejoada;17.3
Fil? de frango com molho de mostarda;12.5
Frango xadrez;11.3
Peixe ensopado;18.4
Rocambole de carne mo?da;9.3
Picadinho de carne;16.5
Salada verde com molho de mostarda;4.5
Sufl? de Chuchu;3.3
Tutu de feij?o;6.7
comidacara;50.5
Alm?ndega caseira;9.7
Arroz de forno;7.5
Bife de alcatra;13.5
Bolo de carne vegano;11.3
Br?colis refogado com cenoura;4.5
Costelinha de porco na panela de press?o;15.7
Espaguetini integral ao alho e ?leo;12.3
Estrogonofe de berinjela;8.7
Farofa crocante;3.5
Fejoada;17.3
Fil? de frango com molho de mostarda;12.5
Frango xadrez;11.3
Peixe ensopado;18.4
Rocambole de carne mo?da;9.3
Picadinho de carne;16.5
Salada verde com molho de mostarda;4.5
Sufl? de Chuchu;3.3
Tutu de feij?o;6.7
comidacara;50.5
Alm?ndega caseira;9.7
Arroz de forno;7.5
Bife de alcatra;13.5
Bolo de carne vegano;11.3
Br?colis refogado com cenoura;4.5
Costelinha de porco na panela de press?o;15.7
Espaguetini integral ao alho e ?leo;12.3
Estrogonofe de berinjela;8.7
Farofa crocante;3.5
Fejoada;17.3
Fil? de frango com molho de mostarda;12.5
Frango xadrez;11.3
Peixe ensopado;18.4
Rocambole de carne mo?da;9.3
Picadinho de carne;16.5
Salada verde com molho de mostarda;4.5
Sufl? de Chuchu;3.3
Tutu de feij?o;6.7
comidacara;50.5
Alm?ndega caseira;9.7
Arroz de forno;7.5
Bife de alcatra;13.5
Bolo de carne vegano;11.3
Br?colis refogado com cenoura;4.5
Costelinha de porco na panela de press?o;15.7
Espaguetini integral ao alho e ?leo;12.3
Estrogonofe de berinjela;8.7
Farofa crocante;3.5
Fejoada;17.3
Fil? de frango com molho de mostarda;12.5
Frango xadrez;11.3
Peixe ensopado;18.4
Rocambole de carne mo?da;9.3
Picadinho de carne;16.5
Salada verde com molho de mostarda;4.5
Sufl? de Chuchu;3.3
Tutu de feij?o;6.7
comidacara;50.5
